"gene_id"	"gene_short_name"	"CtlHIO_0"	"CtlHIO_1"	"CtlHIO_2"	"EcoliHIO_0"	"EcoliHIO_1"	"EcoliHIO_2"	"HIO_0"	"HIO_1"	"HIO_2"	"HuSI_Duo_A_0"	"HuSI_Duo_A_1"	"HuSI_Dist_A_0"	"HuSI_Dist_A_1"	"HuSI_Dist_A_2"	"HuSI_Dist_A_3"	"HuSI_F_0"	"HuSI_F_1"	"HuSI_F_2"	"HuSI_F_3"	"HuSI_F_4"	"HuSI_F_5"
"NPHS2"	"NPHS2"	0.0197489	0.0665396	0	0	0	0	0	0.0164111	0.270067	0.322956	0.380801	0.204929	0	0	0	0.0140175	0	0.0682372	0	0.445025	0
"NPIP"	"NPIP"	35.4151	36.3198	39.7714	34.8142	44.2018	47.3985	54.5731	55.3921	46.3082	36.0475	37.7681	47.4619	57.8615	48.3812	49.3945	37.3909	37.7271	36.4512	33.4542	24.0293	22.8995
"NPIPL3"	"NPIPL3"	5.88633	5.8751	6.23043	6.79677	7.60124	6.34484	10.9501	8.9903	9.65488	6.77993	5.77545	6.87733	8.29641	6.22962	4.74872	18.6789	7.82949	9.94196	7.06603	6.51647	7.18607
"NPL"	"NPL"	0.44023	0.620759	0.482354	0.704181	0.189632	0.165581	1.11012	0.806224	2.36663	2.9431	2.3286	4.37248	3.7179	3.17838	1.68812	14.2726	8.86745	11.7131	5.77155	6.80376	14.6448
"NPLOC4"	"NPLOC4"	18.2696	21.9791	19.6011	21.9297	23.0342	23.8738	28.0845	27.4596	33.6246	22.5755	19.7537	24.2154	22.8873	19.5386	22.1649	17.2268	14.8808	16.6966	16.5566	13.6194	17.0225
"NPM1"	"NPM1"	649.384	702.448	781.026	927.658	1310.6	850.754	521.507	579.428	505.734	232.81	412.077	305.264	311.129	277.25	313.908	477.199	396.694	522.61	383.679	579.45	508.723
"NPM2"	"NPM2"	0.491402	0.619063	0.787616	0.374232	0.481052	0.490578	0.473553	0.244294	0.430734	1.2854	1.44906	0.983097	0.660539	0.59868	0.967538	3.48422	2.55591	2.50526	1.81657	1.40177	2.66738
"NPM3"	"NPM3"	42.5013	45.3348	44.957	83.2738	76.2789	41.4234	30.0897	29.9657	18.8303	8.94536	10.5408	8.11322	11.0393	9.07647	7.31979	20.2554	15.3575	15.2323	20.1306	16.1135	18.9285
"NPNT"	"NPNT"	12.977	8.37091	28.842	8.36211	11.8865	19.4317	18.5573	18.7985	44.9344	44.1265	47.1354	110.447	56.2827	36.8942	69.9725	48.1022	53.4334	51.7366	44.6544	64.7816	44.4649
"NPPA"	"NPPA"	0.947943	1.40819	0.896978	0.744268	0.361736	0.901755	3.23997	3.66255	0.98969	1.66262	0.763222	0.504016	0.184919	1.0462	0.892258	0.821655	1.22949	1.17953	1.17969	1.17124	1.79891
